Id,SalePrice
1461,120801.77
1462,164873.12
1463,190601.92
1464,202423.11
1465,202539.77
1466,168060.12
1467,180935.11
1468,158265.05
1469,208999.67
1470,122067.766
1471,170187.66
1472,98828.82
1473,91823.945
1474,149115.8
1475,105880.86
1476,378116.03
1477,253958.12
1478,303589.78
1479,300986.78
1480,470666.88
1481,319643.16
1482,213371.36
1483,174829.42
1484,171904.2
1485,188481.2
1486,194119.2
1487,330583.22
1488,239518.06
1489,205545.86
1490,264794.47
1491,203426.77
1492,106794.51
1493,191352.08
1494,284079.66
1495,287705.94
1496,245606.89
1497,176464.8
1498,165688.36
1499,164389.83
1500,157418.11
1501,197223.86
1502,148142.19
1503,309868.22
1504,243096.45
1505,234609.7
1506,194497.67
1507,258103.12
1508,203494.8
1509,161567.33
1510,149255.69
1511,150870.88
1512,184351.73
1513,152313.73
1514,161868.55
1515,215907.61
1516,160826.27
1517,184453.56
1518,122487.12
1519,222434.95
1520,134079.23
1521,139893.61
1522,187625.8
1523,110244.87
1524,127883.55
1525,123239.125
1526,99795.77
1527,111639.64
1528,150338.03
1529,158738.42
1530,217574.05
1531,114588.52
1532,97728.58
1533,165497.31
1534,118976.695
1535,160197.95
1536,106060.305
1537,41098.617
1538,161549.42
1539,220674.73
1540,135212.36
1541,137976.42
1542,152037.8
1543,191091.42
1544,80817.7
1545,121048.57
1546,131203.0
1547,136634.7
1548,137336.95
1549,126373.52
1550,151489.94
1551,114388.87
1552,165764.05
1553,167352.33
1554,131900.36
1555,157649.02
1556,81972.52
1557,126222.27
1558,109067.266
1559,58687.76
1560,138524.67
1561,141362.86
1562,138195.78
1563,128291.63
1564,162848.86
1565,142568.42
1566,228675.39
1567,72433.29
1568,226030.8
1569,134239.84
1570,123131.53
1571,120365.65
1572,154146.25
1573,255322.83
1574,130234.96
1575,251961.08
1576,237730.45
1577,189868.75
1578,146118.45
1579,156987.27
1580,189363.89
1581,148459.64
1582,131214.7
1583,276011.16
1584,218113.34
1585,137497.1
1586,56852.574
1587,84702.53
1588,159203.33
1589,92695.76
1590,125827.52
1591,100665.336
1592,136197.39
1593,125678.49
1594,140442.23
1595,129079.13
1596,226899.47
1597,212460.39
1598,221388.25
1599,188261.45
1600,167958.81
1601,55024.645
1602,144825.17
1603,59014.215
1604,268045.97
1605,227245.45
1606,165858.17
1607,157525.78
1608,200269.81
1609,181047.98
1610,157052.3
1611,128485.3
1612,191297.92
1613,164995.61
1614,142012.92
1615,97525.48
1616,75292.82
1617,80938.84
1618,123598.61
1619,147894.16
1620,185562.97
1621,132352.17
1622,150150.12
1623,251770.67
1624,217706.8
1625,117756.19
1626,172503.9
1627,191436.39
1628,277426.03
1629,186731.44
1630,347060.4
1631,226925.36
1632,239586.0
1633,181250.83
1634,187977.69
1635,173645.45
1636,149479.39
1637,211291.11
1638,170692.84
1639,191725.86
1640,247790.08
1641,188384.75
1642,275758.66
1643,218019.17
1644,238853.92
1645,214882.2
1646,161401.61
1647,152193.64
1648,129389.85
1649,132744.6
1650,111694.05
1651,121361.164
1652,101646.54
1653,96196.13
1654,150850.86
1655,132712.56
1656,144480.66
1657,158840.45
1658,150886.7
1659,130582.84
1660,153722.73
1661,430151.66
1662,380020.28
1663,392021.25
1664,511640.66
1665,344982.1
1666,317706.66
1667,392162.47
1668,366655.72
1669,317426.53
1670,359059.62
1671,264925.5
1672,401021.78
1673,295104.34
1674,247739.39
1675,208804.03
1676,211802.36
1677,225617.23
1678,476157.22
1679,379944.66
1680,341455.03
1681,286979.62
1682,320762.6
1683,200380.8
1684,171075.89
1685,167800.39
1686,171730.12
1687,180369.58
1688,190818.0
1689,192482.14
1690,191209.11
1691,180208.77
1692,251823.45
1693,186208.58
1694,180156.0
1695,175263.14
1696,266483.34
1697,178992.2
1698,343899.94
1699,299142.72
1700,275905.0
1701,278329.84
1702,249641.34
1703,232382.0
1704,279171.9
1705,254451.25
1706,401093.1
1707,228270.72
1708,211114.08
1709,257917.38
1710,234038.08
1711,279852.12
1712,248939.02
1713,290919.47
